component_uri,component_label,instrument_uri,instrument_label,doc_family,primary_doc_url,secondary_doc_url,status
pmsr:/COM1738095221724775,Shock Link Monitor  -- CB:EMPTY,uberon:0004535,,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/COM1738097990641815,Chest Inflator  -- CB:Chest Inflator,uberon:0001004,,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/COM1738098129989165,Stoma Inflator  -- CB:Stomach Inflator,uberon:0001007,,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/COM1738099771423295,Skill Guide Device  -- CB:EMPTY,pmsr:/INS1739823398493725,Laerdal Nursing Anne Mannequin,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,ok
pmsr:/COM1738100153764155,SimPad Device  -- CB:EMPTY,pmsr:/INS1739823398493725,Laerdal Nursing Anne Mannequin,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,ok
pmsr:/COM1738187586682545,Electrode  -- CB:Eletrodes Adult,pmsr:/INS1739823398493725,Laerdal Nursing Anne Mannequin,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,ok
pmsr:/COM1738187818694655,Electrode  -- CB:Eletrodes Pediatric,pmsr:/INS1739823398493725,Laerdal Nursing Anne Mannequin,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,ok
pmsr:/COM1738188452521625,DAE Trainer  -- CB:EMPTY,pmsr:/INS1739823398493725,Laerdal Nursing Anne Mannequin,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,ok
pmsr:/COM1739399134970895,Microphone  -- CB:EMPTY,pmsr:/INS1739823398493725,Laerdal Nursing Anne Mannequin,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,ok
pmsr:/COM1740091620192285,IV Access  -- CB:EMPTY,uberon:0009055,,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/COM1740091527359405,Anal Canal  -- CB:EMPTY,uberon:0005409,,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/COM1740097957423935,Pupil Simulator  -- CB:Pupil Simulator Size,uberon:0000970,,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/COM1740484904469385,Human Interaction Pressure Duration Component Stem  -- CB:EMPTY,uberon:0002097,,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/COM1740497043510835,Lymphedema Condition Component Stem  -- CB:EMPTY,pmsr:/INS1739452868256965,SimSleeves Lymphedema Simulator,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/COM1740485914720735,Skin Volume Change Component Stem  -- CB:EMPTY,uberon:0002097,,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/COM1740493917966195,Tissue Penetration Component Stem  -- CB:EMPTY,uberon:0000479,,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/COM1786054978466045000,ARTEC LEO Scanner Detector,pmsr:/INS1739301009974715,ARTEC LEO Scanner,Dental and Oral Scanning Systems,https://support.3shape.com/,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,ok
pmsr:/COM1786054978466052000,ARTEC LEO Scanner Actuator,pmsr:/INS1739301009974715,ARTEC LEO Scanner,Dental and Oral Scanning Systems,https://support.3shape.com/,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,ok
pmsr:/COM1786054978466068000,Airway Simulator Detector,pmsr:/INS1739398437257165,Airway Simulator,Procedure Trainers and Skills Simulators,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,ok
pmsr:/COM1786054978466074000,Airway Simulator Actuator,pmsr:/INS1739398437257165,Airway Simulator,Procedure Trainers and Skills Simulators,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,ok
pmsr:/COM1786054978466101000,Anatomage Clinical Table Detector,pmsr:/INS1739819782231595,Anatomage Clinical Table,Anatomy Table and 3D Simulation,https://www.anatomage.com/table/,https://www.inacsl.org/healthcare-simulation-standards/,ok
pmsr:/COM1786054978466106000,Anatomage Clinical Table Actuator,pmsr:/INS1739819782231595,Anatomage Clinical Table,Anatomy Table and 3D Simulation,https://www.anatomage.com/table/,https://www.inacsl.org/healthcare-simulation-standards/,ok
pmsr:/COM1786054978466115000,Anatomage Large Table Detector,pmsr:/INS1739819116467195,Anatomage Large Table,Anatomy Table and 3D Simulation,https://www.anatomage.com/table/,https://www.inacsl.org/healthcare-simulation-standards/,ok
pmsr:/COM1786054978466118000,Anatomage Large Table Actuator,pmsr:/INS1739819116467195,Anatomage Large Table,Anatomy Table and 3D Simulation,https://www.anatomage.com/table/,https://www.inacsl.org/healthcare-simulation-standards/,ok
pmsr:/COM1786054978466127000,Anatomage Science Table Detector,pmsr:/INS1739819955334025,Anatomage Science Table,Anatomy Table and 3D Simulation,https://www.anatomage.com/table/,https://www.inacsl.org/healthcare-simulation-standards/,ok
pmsr:/COM1786054978466132000,Anatomage Science Table Actuator,pmsr:/INS1739819955334025,Anatomage Science Table,Anatomy Table and 3D Simulation,https://www.anatomage.com/table/,https://www.inacsl.org/healthcare-simulation-standards/,ok
pmsr:/COM1786054978466141000,Anatomage Small Tablet Detector,pmsr:/INS1739819599670195,Anatomage Small Tablet,Anatomy Table and 3D Simulation,https://www.anatomage.com/table/,https://www.inacsl.org/healthcare-simulation-standards/,ok
pmsr:/COM1786054978466145000,Anatomage Small Tablet Actuator,pmsr:/INS1739819599670195,Anatomage Small Tablet,Anatomy Table and 3D Simulation,https://www.anatomage.com/table/,https://www.inacsl.org/healthcare-simulation-standards/,ok
pmsr:/COM1786054978466154000,Anatomage Table Simulator Detector,pmsr:/INS1739452063713965,Anatomage Table Simulator,Anatomy Table and 3D Simulation,https://www.anatomage.com/table/,https://www.inacsl.org/healthcare-simulation-standards/,ok
pmsr:/COM1786054978466157000,Anatomage Table Simulator Actuator,pmsr:/INS1739452063713965,Anatomage Table Simulator,Anatomy Table and 3D Simulation,https://www.anatomage.com/table/,https://www.inacsl.org/healthcare-simulation-standards/,ok
pmsr:/COM1786054978466167000,Anatomage Vet Table Detector,pmsr:/INS1739819868350395,Anatomage Vet Table,Anatomy Table and 3D Simulation,https://www.anatomage.com/table/,https://www.inacsl.org/healthcare-simulation-standards/,ok
pmsr:/COM1786054978466170000,Anatomage Vet Table Actuator,pmsr:/INS1739819868350395,Anatomage Vet Table,Anatomy Table and 3D Simulation,https://www.anatomage.com/table/,https://www.inacsl.org/healthcare-simulation-standards/,ok
pmsr:/COM1786054978466180000,Automated External Defibrilator Detector,pmsr:/INS1739301317613705,Automated External Defibrilator,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,ok
pmsr:/COM1786054978466184000,Automated External Defibrilator Actuator,pmsr:/INS1739301317613705,Automated External Defibrilator,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,ok
pmsr:/COM1786054978466194000,Blood Pressure Measurement Simulator Detector,pmsr:/INS1739402230863265,Blood Pressure Measurement Simulator,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/COM1786054978466198000,Blood Pressure Measurement Simulator Actuator,pmsr:/INS1739402230863265,Blood Pressure Measurement Simulator,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/COM1786054978466208000,Body Interact Simulator Detector,pmsr:/INS1739878730369725,Body Interact Simulator,Virtual Patient and Digital Simulation,https://support.bodyinteract.com/,https://www.ssih.org/,ok
pmsr:/COM1786054978466212000,Body Interact Simulator Actuator,pmsr:/INS1739878730369725,Body Interact Simulator,Virtual Patient and Digital Simulation,https://support.bodyinteract.com/,https://www.ssih.org/,ok
pmsr:/COM1786054978466222000,Butterfly IQ+ Detector,pmsr:/INS1739288625580975,Butterfly IQ+,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,ok
pmsr:/COM1786054978466225000,Butterfly IQ+ Actuator,pmsr:/INS1739288625580975,Butterfly IQ+,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,ok
pmsr:/COM1786054978466236000,Butterfly Ultrasound Probes Detector,pmsr:/INS1739288691415495,Butterfly Ultrasound Probes,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,ok
pmsr:/COM1786054978466241000,Butterfly Ultrasound Probes Actuator,pmsr:/INS1739288691415495,Butterfly Ultrasound Probes,Point-of-Care Ultrasound and Imaging,https://support.butterflynetwork.com/hc/en-us,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,ok
pmsr:/COM1786054978466252000,CAD-CAM System Detector,pmsr:/INS1739301189412025,CAD-CAM System,Dental and Oral Scanning Systems,https://support.3shape.com/,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,ok
pmsr:/COM1786054978466256000,CAD-CAM System Actuator,pmsr:/INS1739301189412025,CAD-CAM System,Dental and Oral Scanning Systems,https://support.3shape.com/,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,ok
pmsr:/COM1786054978466266000,Cancer Patient Simulator Detector,pmsr:/INS1739820624939265,Cancer Patient Simulator,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/COM1786054978466270000,Cancer Patient Simulator Actuator,pmsr:/INS1739820624939265,Cancer Patient Simulator,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/COM1786054978466282000,Cancer Patient Simulator Detector,pmsr:/INS1739879206550705,Cancer Patient Simulator,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/COM1786054978466286000,Cancer Patient Simulator Actuator,pmsr:/INS1739879206550705,Cancer Patient Simulator,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/COM1786054978466297000,Cardiac Procedure Simulator Detector,pmsr:/INS1739392182337835,Cardiac Procedure Simulator,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/COM1786054978466301000,Cardiac Procedure Simulator Actuator,pmsr:/INS1739392182337835,Cardiac Procedure Simulator,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
