slot_uri,codebook_uri,codebook_label,codebook_webdoc,response_uri,response_label,response_row,response_comment,response_webdoc,slot_priority
pmsr:/CBK1786054978465927000/CBS/1,pmsr:/CBK1786054978465927000,Actuator State Codebook,,pmsr:/ROP1786054978465918000,Off,28,Autogenerated shared response option: off,,1
pmsr:/CBK1786054978465927000/CBS/2,pmsr:/CBK1786054978465927000,Actuator State Codebook,,pmsr:/ROP1786054978465920000,On,29,Autogenerated shared response option: on,,2
pmsr:/CBK1786054978465927000/CBS/3,pmsr:/CBK1786054978465927000,Actuator State Codebook,,pmsr:/ROP1786054978465922000,Standby,30,Autogenerated shared response option: standby,,3
pmsr:/CBK1738087261869295/CBS/1,pmsr:/CBK1738087261869295,Airway Medical Device Responses,,pmsr:/ROP1786056052971679000,Low,63,Auto-created from documentation corpus remediation pass.,,1
pmsr:/CBK1738087261869295/CBS/2,pmsr:/CBK1738087261869295,Airway Medical Device Responses,,pmsr:/ROP1786056052971686000,Medium,64,Auto-created from documentation corpus remediation pass.,,2
pmsr:/CBK1738087261869295/CBS/3,pmsr:/CBK1738087261869295,Airway Medical Device Responses,,pmsr:/ROP1786056052971690000,High,65,Auto-created from documentation corpus remediation pass.,,3
pmsr:/CBK1786055194373684000/CBS/1,pmsr:/CBK1786055194373684000,Anal Canal Condition Codebook,,pmsr:/ROP1786055194373686000,Normal,49,Autogenerated specific option for legacy CB:EMPTY enrichment,,1
pmsr:/CBK1786055194373684000/CBS/2,pmsr:/CBK1786055194373684000,Anal Canal Condition Codebook,,pmsr:/ROP1786055194373689000,Tender,50,Autogenerated specific option for legacy CB:EMPTY enrichment,,2
pmsr:/CBK1786055194373684000/CBS/3,pmsr:/CBK1786055194373684000,Anal Canal Condition Codebook,,pmsr:/ROP1786055194373693000,Bleeding,51,Autogenerated specific option for legacy CB:EMPTY enrichment,,3
pmsr:/CBK1738190767525383/CBS/1,pmsr:/CBK1738190767525383,CB,,pmsr:/ROP1786056052971696000,State 1,66,Auto-created from documentation corpus remediation pass.,,1
pmsr:/CBK1738190767525383/CBS/2,pmsr:/CBK1738190767525383,CB,,pmsr:/ROP1786056052971699000,State 2,67,Auto-created from documentation corpus remediation pass.,,2
pmsr:/CBK1738190767525383/CBS/3,pmsr:/CBK1738190767525383,CB,,pmsr:/ROP1786056052971701000,State 3,68,Auto-created from documentation corpus remediation pass.,,3
pmsr:/CBK1738190767525383/CBS/4,pmsr:/CBK1738190767525383,CB,,pmsr:/ROP1786056052971703000,State 4,69,Auto-created from documentation corpus remediation pass.,,4
pmsr:/CBK1738096258564815/CBS/1,pmsr:/CBK1738096258564815,Chest Inflator Responses,,pmsr:/ROP1738095646552695,ROP1738095646552695,2,"The portion representing the Chest, in the mannequin, appears to be deflated.",,1
pmsr:/CBK1738096258564815/CBS/2,pmsr:/CBK1738096258564815,Chest Inflator Responses,,pmsr:/ROP1738095538691005,ROP1738095538691005,3,The chest portion of the mannequin appears to be inflated,,2
pmsr:/CBK1786055194373647000/CBS/1,pmsr:/CBK1786055194373647000,DAE Trainer Prompt Codebook,,pmsr:/ROP1786055194373649000,No Prompt,40,Autogenerated specific option for legacy CB:EMPTY enrichment,,1
pmsr:/CBK1786055194373647000/CBS/2,pmsr:/CBK1786055194373647000,DAE Trainer Prompt Codebook,,pmsr:/ROP1786055194373652000,Prepare Shock,41,Autogenerated specific option for legacy CB:EMPTY enrichment,,2
pmsr:/CBK1786055194373647000/CBS/3,pmsr:/CBK1786055194373647000,DAE Trainer Prompt Codebook,,pmsr:/ROP1786055194373656000,Shock Delivered,42,Autogenerated specific option for legacy CB:EMPTY enrichment,,3
pmsr:/CBK1786054978465925000/CBS/1,pmsr:/CBK1786054978465925000,Detector State Codebook,,pmsr:/ROP1786054978465904000,Detected,25,Autogenerated shared response option: detected,,1
pmsr:/CBK1786054978465925000/CBS/2,pmsr:/CBK1786054978465925000,Detector State Codebook,,pmsr:/ROP1786054978465911000,Not Detected,26,Autogenerated shared response option: not detected,,2
pmsr:/CBK1786054978465925000/CBS/3,pmsr:/CBK1786054978465925000,Detector State Codebook,,pmsr:/ROP1786054978465915000,Unknown,27,Autogenerated shared response option: unknown,,3
pmsr:/CBK1738186252574965/CBS/1,pmsr:/CBK1738186252574965,Eletrodes Adult Responses,,pmsr:/ROP1786056052971706000,Detached,70,Auto-created from documentation corpus remediation pass.,,1
pmsr:/CBK1738186252574965/CBS/2,pmsr:/CBK1738186252574965,Eletrodes Adult Responses,,pmsr:/ROP1786056052971709000,Attached,71,Auto-created from documentation corpus remediation pass.,,2
pmsr:/CBK1738187728844755/CBS/1,pmsr:/CBK1738187728844755,Eletrodes Pediatric Responses,,pmsr:/ROP1786056052971706000,Detached,70,Auto-created from documentation corpus remediation pass.,,1
pmsr:/CBK1738187728844755/CBS/2,pmsr:/CBK1738187728844755,Eletrodes Pediatric Responses,,pmsr:/ROP1786056052971709000,Attached,71,Auto-created from documentation corpus remediation pass.,,2
pmsr:/CBK1740091832821965/CBS/1,pmsr:/CBK1740091832821965,IV Access Locations,,pmsr:/ROP1740092924252535,ROP1740092924252535,7,"Neonatal Cubital fossa Median antecubital, cephalic and basilic veins - Median antecubital, cephalic and basilic veins are easy to hit and tend to last quite well if splinted properly.  These veins are the preferred sites for insertion of percutaneous central venous catheters.  These should be avoided unless absolutely necessary in any infant likely to need long term IV therapy. The median nerve and brachial artery are both in the same anatomical vicinity and therefore vulnerable to damage.",https://www.safercare.vic.gov.au/best-practice-improvement/clinical-guidance/neonatal/peripheral-intravenous-iv-catheter-inserti,1
pmsr:/CBK1786055194373672000/CBS/1,pmsr:/CBK1786055194373672000,IV Access Status Codebook,,pmsr:/ROP1786055194373673000,Not Started,46,Autogenerated specific option for legacy CB:EMPTY enrichment,,1
pmsr:/CBK1786055194373672000/CBS/2,pmsr:/CBK1786055194373672000,IV Access Status Codebook,,pmsr:/ROP1786055194373677000,Successful Access,47,Autogenerated specific option for legacy CB:EMPTY enrichment,,2
pmsr:/CBK1786055194373672000/CBS/3,pmsr:/CBK1786055194373672000,IV Access Status Codebook,,pmsr:/ROP1786055194373680000,Compromised Access,48,Autogenerated specific option for legacy CB:EMPTY enrichment,,3
pmsr:/CBK1738088009248155/CBS/1,pmsr:/CBK1738088009248155,Intubation Results,,pmsr:/ROP1786055194373625000,Inactive,34,Autogenerated specific option for legacy CB:EMPTY enrichment,,1
pmsr:/CBK1738088009248155/CBS/2,pmsr:/CBK1738088009248155,Intubation Results,,pmsr:/ROP1786056052971716000,Active,72,Auto-created from documentation corpus remediation pass.,,2
pmsr:/CBK1786055194373708000/CBS/1,pmsr:/CBK1786055194373708000,Lymphedema Severity Codebook,,pmsr:/ROP1786055194373710000,Mild,55,Autogenerated specific option for legacy CB:EMPTY enrichment,,1
pmsr:/CBK1786055194373708000/CBS/2,pmsr:/CBK1786055194373708000,Lymphedema Severity Codebook,,pmsr:/ROP1786055194373701000,Moderate,53,Autogenerated specific option for legacy CB:EMPTY enrichment,,2
pmsr:/CBK1786055194373708000/CBS/3,pmsr:/CBK1786055194373708000,Lymphedema Severity Codebook,,pmsr:/ROP1786055194373715000,Severe,56,Autogenerated specific option for legacy CB:EMPTY enrichment,,3
pmsr:/CBK1786055194373659000/CBS/1,pmsr:/CBK1786055194373659000,Microphone Signal State Codebook,,pmsr:/ROP1786055194373661000,Muted,43,Autogenerated specific option for legacy CB:EMPTY enrichment,,1
pmsr:/CBK1786055194373659000/CBS/2,pmsr:/CBK1786055194373659000,Microphone Signal State Codebook,,pmsr:/ROP1786055194373664000,Low Signal,44,Autogenerated specific option for legacy CB:EMPTY enrichment,,2
pmsr:/CBK1786055194373659000/CBS/3,pmsr:/CBK1786055194373659000,Microphone Signal State Codebook,,pmsr:/ROP1786055194373668000,Clear Signal,45,Autogenerated specific option for legacy CB:EMPTY enrichment,,3
pmsr:/CBK1738148623334734/CBS/1,pmsr:/CBK1738148623334734,PASS and FAIL,,pmsr:/ROP1738148696123634,ROP1738148696123634,17,Process complete successfully,,1
pmsr:/CBK1738148623334734/CBS/2,pmsr:/CBK1738148623334734,PASS and FAIL,,pmsr:/ROP1738148709128504,ROP1738148709128504,4,Process failed,,2
pmsr:/CBK1786055194373696000/CBS/1,pmsr:/CBK1786055194373696000,Pressure Duration Level Codebook,,pmsr:/ROP1786055194373698000,Short,52,Autogenerated specific option for legacy CB:EMPTY enrichment,,1
pmsr:/CBK1786055194373696000/CBS/2,pmsr:/CBK1786055194373696000,Pressure Duration Level Codebook,,pmsr:/ROP1786055194373701000,Moderate,53,Autogenerated specific option for legacy CB:EMPTY enrichment,,2
pmsr:/CBK1786055194373696000/CBS/3,pmsr:/CBK1786055194373696000,Pressure Duration Level Codebook,,pmsr:/ROP1786055194373705000,Prolonged,54,Autogenerated specific option for legacy CB:EMPTY enrichment,,3
