rank,priority_band,priority_rationale,action_class,instrument_uri,instrument_label,component_uri,component_label,doc_family,current_reachable_urls,current_blocked_urls,suggested_source_target,recommended_action,status,live_candidate_urls_by_family,has_live_candidates,needs_link_replacement,needs_component_specific_upgrade,next_step,deepscan_pages_checked,deepscan_best_url,deepscan_best_snippet,deepscan_score,deepscan_verdict,deepscan_reason,v3_strict_verdict,v3_strict_reason
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739398437257165,Airway Simulator,pmsr:/COM1786054978466074000,Airway Simulator Actuator,Procedure Trainers and Skills Simulators,,https://limbsandthings.com/us/support/ (404; HTTPError 404: Not Found) | https://www.cdc.gov/infection-control/ (403; HTTPError 403: Forbidden),Limbs & Things/Nasco model manuals and replacement parts documentation for exact simulator model.,Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://www.nascohealthcare.com/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.,8,https://www.nascohealthcare.com/testimonials/,"ng and simulation needs. i created a medical technique and simulation system based on the airway larry product, and the staff at nasco took a chance on my novel idea&#8211;to commercialize&#8211;an actual vomiting manikin! it has been clear",3,PARTIAL_MATCH_NEEDS_HUMAN_CONFIRMATION,"Some component/instrument tokens matched, but explicit proof remains uncertain.",PARTIAL_MATCH_NEEDS_HUMAN_CONFIRMATION,Partial only: no exact phrase and no sensor term in snippet.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739398437257165,Airway Simulator,pmsr:/COM1786054978466068000,Airway Simulator Detector,Procedure Trainers and Skills Simulators,,https://limbsandthings.com/us/support/ (404; HTTPError 404: Not Found) | https://www.cdc.gov/infection-control/ (403; HTTPError 403: Forbidden),Limbs & Things/Nasco model manuals and replacement parts documentation for exact simulator model.,Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://www.nascohealthcare.com/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.,8,https://www.nascohealthcare.com/testimonials/,"ng and simulation needs. i created a medical technique and simulation system based on the airway larry product, and the staff at nasco took a chance on my novel idea&#8211;to commercialize&#8211;an actual vomiting manikin! it has been clear",3,PARTIAL_MATCH_NEEDS_HUMAN_CONFIRMATION,"Some component/instrument tokens matched, but explicit proof remains uncertain.",PARTIAL_MATCH_NEEDS_HUMAN_CONFIRMATION,Partial only: no exact phrase and no sensor term in snippet.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739301317613705,Automated External Defibrilator,pmsr:/COM1786054978466184000,Automated External Defibrilator Actuator,Resuscitation and Mannequin Platforms,,https://laerdal.force.com/HelpCenter/s/ (404; HTTPError 404: Not Found) | https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines (403; HTTPError 403: Forbidden),"Vendor model manual/IFU from Laerdal product/support pages, plus component-specific accessories docs.",Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://laerdal.com/us/products/simulation-training/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.,12,,,0,NO_COMPONENT_SIGNAL_FOUND,No meaningful component signal found across reachable candidate pages.,NO_COMPONENT_SIGNAL_FOUND,No component-level signal detected in deep scan.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739301317613705,Automated External Defibrilator,pmsr:/COM1786054978466180000,Automated External Defibrilator Detector,Resuscitation and Mannequin Platforms,,https://laerdal.force.com/HelpCenter/s/ (404; HTTPError 404: Not Found) | https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines (403; HTTPError 403: Forbidden),"Vendor model manual/IFU from Laerdal product/support pages, plus component-specific accessories docs.",Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://laerdal.com/us/products/simulation-training/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.,12,,,0,NO_COMPONENT_SIGNAL_FOUND,No meaningful component signal found across reachable candidate pages.,NO_COMPONENT_SIGNAL_FOUND,No component-level signal detected in deep scan.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739403188428355,Female Genitalia Catherization Simulator,pmsr:/COM1786054978466447000,Female Genitalia Catherization Simulator Actuator,Procedure Trainers and Skills Simulators,,https://limbsandthings.com/us/support/ (404; HTTPError 404: Not Found) | https://www.cdc.gov/infection-control/ (403; HTTPError 403: Forbidden),Limbs & Things/Nasco model manuals and replacement parts documentation for exact simulator model.,Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://www.nascohealthcare.com/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.,8,,,0,NO_COMPONENT_SIGNAL_FOUND,No meaningful component signal found across reachable candidate pages.,NO_COMPONENT_SIGNAL_FOUND,No component-level signal detected in deep scan.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739403188428355,Female Genitalia Catherization Simulator,pmsr:/COM1786054978466443000,Female Genitalia Catherization Simulator Detector,Procedure Trainers and Skills Simulators,,https://limbsandthings.com/us/support/ (404; HTTPError 404: Not Found) | https://www.cdc.gov/infection-control/ (403; HTTPError 403: Forbidden),Limbs & Things/Nasco model manuals and replacement parts documentation for exact simulator model.,Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://www.nascohealthcare.com/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.,8,,,0,NO_COMPONENT_SIGNAL_FOUND,No meaningful component signal found across reachable candidate pages.,NO_COMPONENT_SIGNAL_FOUND,No component-level signal detected in deep scan.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739397556188145,Gynaecological Examination Mannequin,pmsr:/COM1786054978466482000,Gynaecological Examination Mannequin Actuator,Resuscitation and Mannequin Platforms,,https://laerdal.force.com/HelpCenter/s/ (404; HTTPError 404: Not Found) | https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines (403; HTTPError 403: Forbidden),"Vendor model manual/IFU from Laerdal product/support pages, plus component-specific accessories docs.",Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://laerdal.com/us/products/simulation-training/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.,12,,,0,NO_COMPONENT_SIGNAL_FOUND,No meaningful component signal found across reachable candidate pages.,NO_COMPONENT_SIGNAL_FOUND,No component-level signal detected in deep scan.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739397556188145,Gynaecological Examination Mannequin,pmsr:/COM1786054978466477000,Gynaecological Examination Mannequin Detector,Resuscitation and Mannequin Platforms,,https://laerdal.force.com/HelpCenter/s/ (404; HTTPError 404: Not Found) | https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines (403; HTTPError 403: Forbidden),"Vendor model manual/IFU from Laerdal product/support pages, plus component-specific accessories docs.",Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://laerdal.com/us/products/simulation-training/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.,12,,,0,NO_COMPONENT_SIGNAL_FOUND,No meaningful component signal found across reachable candidate pages.,NO_COMPONENT_SIGNAL_FOUND,No component-level signal detected in deep scan.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739287159797795,High-Fidelity Mannequin,pmsr:/COM1786054978466499000,High-Fidelity Mannequin Actuator,Resuscitation and Mannequin Platforms,,https://laerdal.force.com/HelpCenter/s/ (404; HTTPError 404: Not Found) | https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines (403; HTTPError 403: Forbidden),"Vendor model manual/IFU from Laerdal product/support pages, plus component-specific accessories docs.",Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://laerdal.com/us/products/simulation-training/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.,12,,,0,NO_COMPONENT_SIGNAL_FOUND,No meaningful component signal found across reachable candidate pages.,NO_COMPONENT_SIGNAL_FOUND,No component-level signal detected in deep scan.
,,,REPLACE_BROKEN_LINKS,pmsr:/INS1739287159797795,High-Fidelity Mannequin,pmsr:/COM1786054978466495000,High-Fidelity Mannequin Detector,Resuscitation and Mannequin Platforms,,https://laerdal.force.com/HelpCenter/s/ (404; HTTPError 404: Not Found) | https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines (403; HTTPError 403: Forbidden),"Vendor model manual/IFU from Laerdal product/support pages, plus component-specific accessories docs.",Replace blocked/dead URLs with live vendor/model documents and confirm HTTP 200 accessibility.,TODO,https://laerdal.com/us/products/simulation-training/,yes,yes,no,Replace blocked URLs with one live candidate URL; then seek component-specific model page beneath that domain.,12,,,0,NO_COMPONENT_SIGNAL_FOUND,No meaningful component signal found across reachable candidate pages.,NO_COMPONENT_SIGNAL_FOUND,No component-level signal detected in deep scan.
