hasURI,hasco:hascoType,rdf:type,rdfs:label,vstoi:hasComponentStem,vstoi:hasCodebook,vstoi:isAttributeOf,hasco:hasWebDocument
pmsr:/COM9ffcd363eade12c3c,vstoi:Component,pmsr:/CSM9c414dfc717b9601e,Airway Simulator Airway Pressure Detector,pmsr:/CSM9c414dfc717b9601e,pmsr:/CBK1786054978465925000,pmsr:/INS1739398437257165,https://limbsandthings.com/us/support/
pmsr:/COM950b3d31e301fbc7e,vstoi:Component,pmsr:/CSM992d81c386989d7dc,Airway Simulator Pulse Rate Detector,pmsr:/CSM992d81c386989d7dc,pmsr:/CBK1786054978465925000,pmsr:/INS1739398437257165,https://limbsandthings.com/us/support/
pmsr:/COM935fb928072e9f557,vstoi:Component,pmsr:/CSM92fcfbc2c169e7fcd,Airway Simulator Applied Force Detector,pmsr:/CSM92fcfbc2c169e7fcd,pmsr:/CBK1786054978465925000,pmsr:/INS1739398437257165,https://limbsandthings.com/us/support/
pmsr:/COM9b96fa46ed907be02,vstoi:Component,pmsr:/CSM9de4ab93ad5c6ee64,Anatomage Clinical Table Probe Contact Detector,pmsr:/CSM9de4ab93ad5c6ee64,pmsr:/CBK1786054978465925000,pmsr:/INS1739819782231595,https://www.inacsl.org/healthcare-simulation-standards/
pmsr:/COM987ce09a3861ae599,vstoi:Component,pmsr:/CSM9be87c7647c0e9873,Anatomage Large Table Probe Contact Detector,pmsr:/CSM9be87c7647c0e9873,pmsr:/CBK1786054978465925000,pmsr:/INS1739819116467195,https://www.inacsl.org/healthcare-simulation-standards/
pmsr:/COM93b460eb853377780,vstoi:Component,pmsr:/CSM91ea9b0de3b837582,Anatomage Science Table Probe Contact Detector,pmsr:/CSM91ea9b0de3b837582,pmsr:/CBK1786054978465925000,pmsr:/INS1739819955334025,https://www.inacsl.org/healthcare-simulation-standards/
pmsr:/COM98361c610186e70fe,vstoi:Component,pmsr:/CSM9200668759cbaf1c2,Anatomage Small Tablet Probe Contact Detector,pmsr:/CSM9200668759cbaf1c2,pmsr:/CBK1786054978465925000,pmsr:/INS1739819599670195,https://www.inacsl.org/healthcare-simulation-standards/
pmsr:/COM9b2164f02cfa26970,vstoi:Component,pmsr:/CSM9641bcbc4968524aa,Anatomage Table Simulator Probe Contact Detector,pmsr:/CSM9641bcbc4968524aa,pmsr:/CBK1786054978465925000,pmsr:/INS1739452063713965,https://www.inacsl.org/healthcare-simulation-standards/
pmsr:/COM9ef54393e0e02c625,vstoi:Component,pmsr:/CSM91e7a747282590b1d,Anatomage Vet Table Probe Contact Detector,pmsr:/CSM91e7a747282590b1d,pmsr:/CBK1786054978465925000,pmsr:/INS1739819868350395,https://www.inacsl.org/healthcare-simulation-standards/
pmsr:/COM9f61abd8c7ab5a3f6,vstoi:Component,pmsr:/CSM9fc9ee023f5a19edc,ARTEC LEO Scanner Probe Contact Detector,pmsr:/CSM9fc9ee023f5a19edc,pmsr:/CBK1786054978465925000,pmsr:/INS1739301009974715,https://support.3shape.com/
