hasURI,hasco:hascoType,rdfs:subClassOf,rdfs:label,vstoi:hasContent,vstoi:hasLanguage,vstoi:hasVersion,hasco:hasMaker,rdfs:comment:,hasco:hasImage,hasco:hasWebDocument
pmsr:/CSM9c414dfc717b9601e,vstoi:ComponentStem,,Airway Pressure Detector Stem,Sensor for airway pressure changes during ventilation and intubation tasks.,en,1,,Proposed detector expansion for Airway Simulator; domain=AIRWAY_RESPIRATORY.,,https://www.nascohealthcare.com/testimonials/
pmsr:/CSM992d81c386989d7dc,vstoi:ComponentStem,,Pulse Rate Detector Stem,Detector for pulse presence and pulse-rate signal.,en,1,,Proposed detector expansion for Airway Simulator; domain=CARDIOVASCULAR_HEMODYNAMIC.,,https://www.nascohealthcare.com/testimonials/
pmsr:/CSM92fcfbc2c169e7fcd,vstoi:ComponentStem,,Applied Force Detector Stem,Detector for procedure force application magnitude.,en,1,,Proposed detector expansion for Airway Simulator; domain=PROCEDURAL_FORCE_PRESSURE.,,https://www.nascohealthcare.com/testimonials/
pmsr:/CSM9de4ab93ad5c6ee64,vstoi:ComponentStem,,Probe Contact Detector Stem,Detector for probe-to-surface contact quality.,en,1,,Proposed detector expansion for Anatomage Clinical Table; domain=IMAGING_ANATOMY_SPATIAL.,,https://www.anatomage.com/contact/
pmsr:/CSM9be87c7647c0e9873,vstoi:ComponentStem,,Probe Contact Detector Stem,Detector for probe-to-surface contact quality.,en,1,,Proposed detector expansion for Anatomage Large Table; domain=IMAGING_ANATOMY_SPATIAL.,,https://www.anatomage.com/contact/
pmsr:/CSM91ea9b0de3b837582,vstoi:ComponentStem,,Probe Contact Detector Stem,Detector for probe-to-surface contact quality.,en,1,,Proposed detector expansion for Anatomage Science Table; domain=IMAGING_ANATOMY_SPATIAL.,,https://www.anatomage.com/contact/
pmsr:/CSM9200668759cbaf1c2,vstoi:ComponentStem,,Probe Contact Detector Stem,Detector for probe-to-surface contact quality.,en,1,,Proposed detector expansion for Anatomage Small Tablet; domain=IMAGING_ANATOMY_SPATIAL.,,https://www.anatomage.com/contact/
pmsr:/CSM9641bcbc4968524aa,vstoi:ComponentStem,,Probe Contact Detector Stem,Detector for probe-to-surface contact quality.,en,1,,Proposed detector expansion for Anatomage Table Simulator; domain=IMAGING_ANATOMY_SPATIAL.,,https://www.anatomage.com/contact/
pmsr:/CSM91e7a747282590b1d,vstoi:ComponentStem,,Probe Contact Detector Stem,Detector for probe-to-surface contact quality.,en,1,,Proposed detector expansion for Anatomage Vet Table; domain=IMAGING_ANATOMY_SPATIAL.,,https://www.anatomage.com/contact/
pmsr:/CSM9fc9ee023f5a19edc,vstoi:ComponentStem,,Probe Contact Detector Stem,Detector for probe-to-surface contact quality.,en,1,,Proposed detector expansion for ARTEC LEO Scanner; domain=IMAGING_ANATOMY_SPATIAL.,,https://support.3shape.com/
pmsr:/CSM9d220c5adb12ec30e,vstoi:ComponentStem,,Pulse Rate Detector Stem,Detector for pulse presence and pulse-rate signal.,en,1,,Proposed detector expansion for Automated External Defibrilator; domain=CARDIOVASCULAR_HEMODYNAMIC.,,https://laerdal.com/us/products/simulation-training/
pmsr:/CSM9a8a78fad10b0006c,vstoi:ComponentStem,,Airway Pressure Detector Stem,Sensor for airway pressure changes during ventilation and intubation tasks.,en,1,,Proposed detector expansion for Automated External Defibrilator; domain=AIRWAY_RESPIRATORY.,,https://laerdal.com/us/products/simulation-training/
