instrument_uri,instrument_label,doc_family,threshold_category,domain_of_concern,proposed_component_uri,proposed_component_label,evidence_level,primary_evidence_url,secondary_evidence_url,tertiary_evidence_url,evidence_note
pmsr:/INS1739398437257165,Airway Simulator,Procedure Trainers and Skills Simulators,MEDIUM_MANNEQUIN_PROCEDURE,AIRWAY_RESPIRATORY,pmsr:/COM9ffcd363eade12c3c,Airway Simulator Airway Pressure Detector,family-level-curated,https://limbsandthings.com/us/support/,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,Family/instrument documentation used as detector plausibility evidence; needs model-specific confirmation before production publish.
pmsr:/INS1739398437257165,Airway Simulator,Procedure Trainers and Skills Simulators,MEDIUM_MANNEQUIN_PROCEDURE,CARDIOVASCULAR_HEMODYNAMIC,pmsr:/COM950b3d31e301fbc7e,Airway Simulator Pulse Rate Detector,family-level-curated,https://limbsandthings.com/us/support/,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,Family/instrument documentation used as detector plausibility evidence; needs model-specific confirmation before production publish.
pmsr:/INS1739398437257165,Airway Simulator,Procedure Trainers and Skills Simulators,MEDIUM_MANNEQUIN_PROCEDURE,PROCEDURAL_FORCE_PRESSURE,pmsr:/COM935fb928072e9f557,Airway Simulator Applied Force Detector,family-level-curated,https://limbsandthings.com/us/support/,https://limbsandthings.com/us/support/,https://www.cdc.gov/infection-control/,Family/instrument documentation used as detector plausibility evidence; needs model-specific confirmation before production publish.
pmsr:/INS1739819782231595,Anatomage Clinical Table,Anatomy Table and 3D Simulation,IMAGING_TABLE,IMAGING_ANATOMY_SPATIAL,pmsr:/COM9b96fa46ed907be02,Anatomage Clinical Table Probe Contact Detector,family-level-curated,https://www.inacsl.org/healthcare-simulation-standards/,https://www.anatomage.com/contact/,https://www.inacsl.org/healthcare-simulation-standards/,Family/instrument documentation used as detector plausibility evidence; needs model-specific confirmation before production publish.
pmsr:/INS1739819116467195,Anatomage Large Table,Anatomy Table and 3D Simulation,IMAGING_TABLE,IMAGING_ANATOMY_SPATIAL,pmsr:/COM987ce09a3861ae599,Anatomage Large Table Probe Contact Detector,family-level-curated,https://www.inacsl.org/healthcare-simulation-standards/,https://www.anatomage.com/contact/,https://www.inacsl.org/healthcare-simulation-standards/,Family/instrument documentation used as detector plausibility evidence; needs model-specific confirmation before production publish.
pmsr:/INS1739819955334025,Anatomage Science Table,Anatomy Table and 3D Simulation,IMAGING_TABLE,IMAGING_ANATOMY_SPATIAL,pmsr:/COM93b460eb853377780,Anatomage Science Table Probe Contact Detector,family-level-curated,https://www.inacsl.org/healthcare-simulation-standards/,https://www.anatomage.com/contact/,https://www.inacsl.org/healthcare-simulation-standards/,Family/instrument documentation used as detector plausibility evidence; needs model-specific confirmation before production publish.
pmsr:/INS1739819599670195,Anatomage Small Tablet,Anatomy Table and 3D Simulation,IMAGING_TABLE,IMAGING_ANATOMY_SPATIAL,pmsr:/COM98361c610186e70fe,Anatomage Small Tablet Probe Contact Detector,family-level-curated,https://www.inacsl.org/healthcare-simulation-standards/,https://www.anatomage.com/contact/,https://www.inacsl.org/healthcare-simulation-standards/,Family/instrument documentation used as detector plausibility evidence; needs model-specific confirmation before production publish.
pmsr:/INS1739452063713965,Anatomage Table Simulator,Anatomy Table and 3D Simulation,IMAGING_TABLE,IMAGING_ANATOMY_SPATIAL,pmsr:/COM9b2164f02cfa26970,Anatomage Table Simulator Probe Contact Detector,family-level-curated,https://www.inacsl.org/healthcare-simulation-standards/,https://www.anatomage.com/contact/,https://www.inacsl.org/healthcare-simulation-standards/,Family/instrument documentation used as detector plausibility evidence; needs model-specific confirmation before production publish.
pmsr:/INS1739819868350395,Anatomage Vet Table,Anatomy Table and 3D Simulation,IMAGING_TABLE,IMAGING_ANATOMY_SPATIAL,pmsr:/COM9ef54393e0e02c625,Anatomage Vet Table Probe Contact Detector,family-level-curated,https://www.inacsl.org/healthcare-simulation-standards/,https://www.anatomage.com/contact/,https://www.inacsl.org/healthcare-simulation-standards/,Family/instrument documentation used as detector plausibility evidence; needs model-specific confirmation before production publish.
pmsr:/INS1739301009974715,ARTEC LEO Scanner,Dental and Oral Scanning Systems,IMAGING_TABLE,IMAGING_ANATOMY_SPATIAL,pmsr:/COM9f61abd8c7ab5a3f6,ARTEC LEO Scanner Probe Contact Detector,instrument-specific,https://support.3shape.com/,https://support.medit.com/hc/en-us,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,Family/instrument documentation used as detector plausibility evidence; needs model-specific confirmation before production publish.
pmsr:/INS1739301317613705,Automated External Defibrilator,Resuscitation and Mannequin Platforms,MEDIUM_MANNEQUIN_PROCEDURE,CARDIOVASCULAR_HEMODYNAMIC,pmsr:/COM9fec4dacf65a9e965,Automated External Defibrilator Pulse Rate Detector,instrument-specific,https://laerdal.com/us/products/simulation-training/,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,Family/instrument documentation used as detector plausibility evidence; needs model-specific confirmation before production publish.
pmsr:/INS1739301317613705,Automated External Defibrilator,Resuscitation and Mannequin Platforms,MEDIUM_MANNEQUIN_PROCEDURE,AIRWAY_RESPIRATORY,pmsr:/COM965a74fbb908db6bf,Automated External Defibrilator Airway Pressure Detector,instrument-specific,https://laerdal.com/us/products/simulation-training/,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,Family/instrument documentation used as detector plausibility evidence; needs model-specific confirmation before production publish.
pmsr:/INS1739301317613705,Automated External Defibrilator,Resuscitation and Mannequin Platforms,MEDIUM_MANNEQUIN_PROCEDURE,PROCEDURAL_FORCE_PRESSURE,pmsr:/COM9beda1497dabc50eb,Automated External Defibrilator Applied Force Detector,instrument-specific,https://laerdal.com/us/products/simulation-training/,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,Family/instrument documentation used as detector plausibility evidence; needs model-specific confirmation before production publish.
pmsr:/INS1739402230863265,Blood Pressure Measurement Simulator,General Medical Device Governance,MEDIUM_MANNEQUIN_PROCEDURE,PROCEDURAL_FORCE_PRESSURE,pmsr:/COM94ecc82cd49e57b32,Blood Pressure Measurement Simulator Applied Force Detector,family-level-curated,https://www.iso.org/standard/72704.html,https://www.iso.org/standard/72704.html,https://webstore.iec.ch/publication/67072,Family/instrument documentation used as detector plausibility evidence; needs model-specific confirmation before production publish.
pmsr:/INS1739402230863265,Blood Pressure Measurement Simulator,General Medical Device Governance,MEDIUM_MANNEQUIN_PROCEDURE,AIRWAY_RESPIRATORY,pmsr:/COM9987750264b800ee8,Blood Pressure Measurement Simulator Airway Pressure Detector,family-level-curated,https://www.iso.org/standard/72704.html,https://www.iso.org/standard/72704.html,https://webstore.iec.ch/publication/67072,Family/instrument documentation used as detector plausibility evidence; needs model-specific confirmation before production publish.
pmsr:/INS1739402230863265,Blood Pressure Measurement Simulator,General Medical Device Governance,MEDIUM_MANNEQUIN_PROCEDURE,CARDIOVASCULAR_HEMODYNAMIC,pmsr:/COM9936c34ad2f82b371,Blood Pressure Measurement Simulator Pulse Rate Detector,family-level-curated,https://www.iso.org/standard/72704.html,https://www.iso.org/standard/72704.html,https://webstore.iec.ch/publication/67072,Family/instrument documentation used as detector plausibility evidence; needs model-specific confirmation before production publish.
pmsr:/INS1739288625580975,Butterfly IQ+,Point-of-Care Ultrasound and Imaging,IMAGING_TABLE,IMAGING_ANATOMY_SPATIAL,pmsr:/COM9d590f9452bcb0744,Butterfly IQ+ Probe Contact Detector,instrument-specific,https://support.butterflynetwork.com/hc/en-us,https://www.chison.com/products/,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,Family/instrument documentation used as detector plausibility evidence; needs model-specific confirmation before production publish.
pmsr:/INS1739288691415495,Butterfly Ultrasound Probes,Point-of-Care Ultrasound and Imaging,IMAGING_TABLE,IMAGING_ANATOMY_SPATIAL,pmsr:/COM965212c49f08f1118,Butterfly Ultrasound Probes Probe Contact Detector,instrument-specific,https://www.chison.com/handheld-ultrasound/,https://www.chison.com/products/,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,Family/instrument documentation used as detector plausibility evidence; needs model-specific confirmation before production publish.
pmsr:/INS1739301189412025,CAD-CAM System,Dental and Oral Scanning Systems,IMAGING_TABLE,GENERAL_SIMULATION_OTHER,pmsr:/COM9e7fb0e4387c73762,CAD-CAM System Interaction Event Detector,instrument-specific,https://support.3shape.com/,https://support.medit.com/hc/en-us,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,Family/instrument documentation used as detector plausibility evidence; needs model-specific confirmation before production publish.
pmsr:/INS1739820624939265,Cancer Patient Simulator,General Medical Device Governance,MEDIUM_MANNEQUIN_PROCEDURE,GENERAL_SIMULATION_OTHER,pmsr:/COM91d2e9200b0d09c7d,Cancer Patient Simulator Interaction Event Detector,family-level-curated,https://www.iso.org/standard/72704.html,https://www.iso.org/standard/72704.html,https://webstore.iec.ch/publication/67072,Family/instrument documentation used as detector plausibility evidence; needs model-specific confirmation before production publish.
pmsr:/INS1739820624939265,Cancer Patient Simulator,General Medical Device Governance,MEDIUM_MANNEQUIN_PROCEDURE,AIRWAY_RESPIRATORY,pmsr:/COM9b563d4fdffc071c7,Cancer Patient Simulator Airway Pressure Detector,family-level-curated,https://www.iso.org/standard/72704.html,https://www.iso.org/standard/72704.html,https://webstore.iec.ch/publication/67072,Family/instrument documentation used as detector plausibility evidence; needs model-specific confirmation before production publish.
pmsr:/INS1739820624939265,Cancer Patient Simulator,General Medical Device Governance,MEDIUM_MANNEQUIN_PROCEDURE,CARDIOVASCULAR_HEMODYNAMIC,pmsr:/COM96888ab9d556e9f96,Cancer Patient Simulator Pulse Rate Detector,family-level-curated,https://www.iso.org/standard/72704.html,https://www.iso.org/standard/72704.html,https://webstore.iec.ch/publication/67072,Family/instrument documentation used as detector plausibility evidence; needs model-specific confirmation before production publish.
pmsr:/INS1739879206550705,Cancer Patient Simulator,General Medical Device Governance,MEDIUM_MANNEQUIN_PROCEDURE,GENERAL_SIMULATION_OTHER,pmsr:/COM97cd9420027aeda3a,Cancer Patient Simulator Interaction Event Detector,family-level-curated,https://www.iso.org/standard/72704.html,https://www.iso.org/standard/72704.html,https://webstore.iec.ch/publication/67072,Family/instrument documentation used as detector plausibility evidence; needs model-specific confirmation before production publish.
pmsr:/INS1739879206550705,Cancer Patient Simulator,General Medical Device Governance,MEDIUM_MANNEQUIN_PROCEDURE,AIRWAY_RESPIRATORY,pmsr:/COM9600435be332b85c5,Cancer Patient Simulator Airway Pressure Detector,family-level-curated,https://www.iso.org/standard/72704.html,https://www.iso.org/standard/72704.html,https://webstore.iec.ch/publication/67072,Family/instrument documentation used as detector plausibility evidence; needs model-specific confirmation before production publish.
pmsr:/INS1739879206550705,Cancer Patient Simulator,General Medical Device Governance,MEDIUM_MANNEQUIN_PROCEDURE,CARDIOVASCULAR_HEMODYNAMIC,pmsr:/COM993bba4dbe9c3083e,Cancer Patient Simulator Pulse Rate Detector,family-level-curated,https://www.iso.org/standard/72704.html,https://www.iso.org/standard/72704.html,https://webstore.iec.ch/publication/67072,Family/instrument documentation used as detector plausibility evidence; needs model-specific confirmation before production publish.
pmsr:/INS1739392182337835,Cardiac Procedure Simulator,General Medical Device Governance,MEDIUM_MANNEQUIN_PROCEDURE,CARDIOVASCULAR_HEMODYNAMIC,pmsr:/COM95a5e3eb50affb204,Cardiac Procedure Simulator Pulse Rate Detector,family-level-curated,https://www.iso.org/standard/72704.html,https://www.iso.org/standard/72704.html,https://webstore.iec.ch/publication/67072,Family/instrument documentation used as detector plausibility evidence; needs model-specific confirmation before production publish.
pmsr:/INS1739392182337835,Cardiac Procedure Simulator,General Medical Device Governance,MEDIUM_MANNEQUIN_PROCEDURE,AIRWAY_RESPIRATORY,pmsr:/COM9af58efb3d975da63,Cardiac Procedure Simulator Airway Pressure Detector,family-level-curated,https://www.iso.org/standard/72704.html,https://www.iso.org/standard/72704.html,https://webstore.iec.ch/publication/67072,Family/instrument documentation used as detector plausibility evidence; needs model-specific confirmation before production publish.
pmsr:/INS1739392182337835,Cardiac Procedure Simulator,General Medical Device Governance,MEDIUM_MANNEQUIN_PROCEDURE,PROCEDURAL_FORCE_PRESSURE,pmsr:/COM905b86b9e5409690b,Cardiac Procedure Simulator Applied Force Detector,family-level-curated,https://www.iso.org/standard/72704.html,https://www.iso.org/standard/72704.html,https://webstore.iec.ch/publication/67072,Family/instrument documentation used as detector plausibility evidence; needs model-specific confirmation before production publish.
pmsr:/INS1739301711235865,Care Simulators,General Medical Device Governance,MEDIUM_MANNEQUIN_PROCEDURE,GENERAL_SIMULATION_OTHER,pmsr:/COM9c9998b0d6c57586e,Care Simulators Interaction Event Detector,family-level-curated,https://www.iso.org/standard/72704.html,https://www.iso.org/standard/72704.html,https://webstore.iec.ch/publication/67072,Family/instrument documentation used as detector plausibility evidence; needs model-specific confirmation before production publish.
pmsr:/INS1739301711235865,Care Simulators,General Medical Device Governance,MEDIUM_MANNEQUIN_PROCEDURE,AIRWAY_RESPIRATORY,pmsr:/COM9c44ff66ece930aee,Care Simulators Airway Pressure Detector,family-level-curated,https://www.iso.org/standard/72704.html,https://www.iso.org/standard/72704.html,https://webstore.iec.ch/publication/67072,Family/instrument documentation used as detector plausibility evidence; needs model-specific confirmation before production publish.
pmsr:/INS1739301711235865,Care Simulators,General Medical Device Governance,MEDIUM_MANNEQUIN_PROCEDURE,CARDIOVASCULAR_HEMODYNAMIC,pmsr:/COM9edd3c7ab12ea1a73,Care Simulators Pulse Rate Detector,family-level-curated,https://www.iso.org/standard/72704.html,https://www.iso.org/standard/72704.html,https://webstore.iec.ch/publication/67072,Family/instrument documentation used as detector plausibility evidence; needs model-specific confirmation before production publish.
pmsr:/INS1739288499528465,Chison Cbit-9 Stationary Ultrasound,Point-of-Care Ultrasound and Imaging,IMAGING_TABLE,IMAGING_ANATOMY_SPATIAL,pmsr:/COM96e335ed1aba2ac89,Chison Cbit-9 Stationary Ultrasound Probe Contact Detector,instrument-specific,https://www.chison.com/products/,https://www.chison.com/products/,https://www.who.int/teams/health-product-policy-and-standards/assistive-and-medical-technology/medical-devices,Family/instrument documentation used as detector plausibility evidence; needs model-specific confirmation before production publish.
pmsr:/INS1739287212610855,Dani Model,General Medical Device Governance,HIGH_MANNEQUIN_PROCEDURE,SOFTWARE_WORKFLOW_STATE,pmsr:/COM9353c22c5ba75ca42,Dani Model Scenario State Detector,family-level-curated,https://www.iso.org/standard/72704.html,https://www.iso.org/standard/72704.html,https://webstore.iec.ch/publication/67072,Family/instrument documentation used as detector plausibility evidence; needs model-specific confirmation before production publish.
pmsr:/INS1739287212610855,Dani Model,General Medical Device Governance,HIGH_MANNEQUIN_PROCEDURE,AIRWAY_RESPIRATORY,pmsr:/COM97d2086a75ab53ee1,Dani Model Airway Pressure Detector,family-level-curated,https://www.iso.org/standard/72704.html,https://www.iso.org/standard/72704.html,https://webstore.iec.ch/publication/67072,Family/instrument documentation used as detector plausibility evidence; needs model-specific confirmation before production publish.
