instrument_uri,instrument_label,slot_uri_to_patch,field,old_value,new_value,reason
pmsr:/INS1739398437257165,Airway Simulator,pmsr:/INS1739398437257165/CTS/0002,vstoi:hasNext,,pmsr:/INS1739398437257165/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739819782231595,Anatomage Clinical Table,pmsr:/INS1739819782231595/CTS/0002,vstoi:hasNext,,pmsr:/INS1739819782231595/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739819116467195,Anatomage Large Table,pmsr:/INS1739819116467195/CTS/0002,vstoi:hasNext,,pmsr:/INS1739819116467195/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739819955334025,Anatomage Science Table,pmsr:/INS1739819955334025/CTS/0002,vstoi:hasNext,,pmsr:/INS1739819955334025/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739819599670195,Anatomage Small Tablet,pmsr:/INS1739819599670195/CTS/0002,vstoi:hasNext,,pmsr:/INS1739819599670195/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739452063713965,Anatomage Table Simulator,pmsr:/INS1739452063713965/CTS/0002,vstoi:hasNext,,pmsr:/INS1739452063713965/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739819868350395,Anatomage Vet Table,pmsr:/INS1739819868350395/CTS/0002,vstoi:hasNext,,pmsr:/INS1739819868350395/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739301009974715,ARTEC LEO Scanner,pmsr:/INS1739301009974715/CTS/0002,vstoi:hasNext,,pmsr:/INS1739301009974715/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739301317613705,Automated External Defibrilator,pmsr:/INS1739301317613705/CTS/0002,vstoi:hasNext,,pmsr:/INS1739301317613705/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739402230863265,Blood Pressure Measurement Simulator,pmsr:/INS1739402230863265/CTS/0002,vstoi:hasNext,,pmsr:/INS1739402230863265/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739288625580975,Butterfly IQ+,pmsr:/INS1739288625580975/CTS/0002,vstoi:hasNext,,pmsr:/INS1739288625580975/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739288691415495,Butterfly Ultrasound Probes,pmsr:/INS1739288691415495/CTS/0002,vstoi:hasNext,,pmsr:/INS1739288691415495/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739301189412025,CAD-CAM System,pmsr:/INS1739301189412025/CTS/0002,vstoi:hasNext,,pmsr:/INS1739301189412025/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739820624939265,Cancer Patient Simulator,pmsr:/INS1739820624939265/CTS/0002,vstoi:hasNext,,pmsr:/INS1739820624939265/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739879206550705,Cancer Patient Simulator,pmsr:/INS1739879206550705/CTS/0002,vstoi:hasNext,,pmsr:/INS1739879206550705/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739392182337835,Cardiac Procedure Simulator,pmsr:/INS1739392182337835/CTS/0002,vstoi:hasNext,,pmsr:/INS1739392182337835/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739301711235865,Care Simulators,pmsr:/INS1739301711235865/CTS/0002,vstoi:hasNext,,pmsr:/INS1739301711235865/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739288499528465,Chison Cbit-9 Stationary Ultrasound,pmsr:/INS1739288499528465/CTS/0002,vstoi:hasNext,,pmsr:/INS1739288499528465/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739287212610855,Dani Model,pmsr:/INS1739287212610855/CTS/0002,vstoi:hasNext,,pmsr:/INS1739287212610855/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739288006994165,Diagnostic Imaging Simulator,pmsr:/INS1739288006994165/CTS/0002,vstoi:hasNext,,pmsr:/INS1739288006994165/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739287021517805,Diagnostic Simulators,pmsr:/INS1739287021517805/CTS/0002,vstoi:hasNext,,pmsr:/INS1739287021517805/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739288153666735,Diagnostic Ultrasound,pmsr:/INS1739288153666735/CTS/0002,vstoi:hasNext,,pmsr:/INS1739288153666735/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739404158691525,Ear Irrigation Simulator,pmsr:/INS1739404158691525/CTS/0002,vstoi:hasNext,,pmsr:/INS1739404158691525/CTS/0003,Append proposed detector expansion chain.
pmsr:/INS1739301133578555,Extraoral Scanner,pmsr:/INS1739301133578555/CTS/0002,vstoi:hasNext,,pmsr:/INS1739301133578555/CTS/0003,Append proposed detector expansion chain.
