hasURI,hasco:hascoType,vstoi:belongsTo,vstoi:hasComponent,vstoi:hasNext,vstoi:hasPrevious,vstoi:hasFirst,vstoi:hasPriority,rdfs:label
pmsr:/INS1739398437257165/CTS/0003,vstoi:SlotElement,pmsr:/INS1739398437257165,pmsr:/COM9ffcd363eade12c3c,pmsr:/INS1739398437257165/CTS/0004,pmsr:/INS1739398437257165/CTS/0002,,0003,Airway Simulator Detector Slot 0003
pmsr:/INS1739398437257165/CTS/0004,vstoi:SlotElement,pmsr:/INS1739398437257165,pmsr:/COM950b3d31e301fbc7e,pmsr:/INS1739398437257165/CTS/0005,pmsr:/INS1739398437257165/CTS/0003,,0004,Airway Simulator Detector Slot 0004
pmsr:/INS1739398437257165/CTS/0005,vstoi:SlotElement,pmsr:/INS1739398437257165,pmsr:/COM935fb928072e9f557,,pmsr:/INS1739398437257165/CTS/0004,,0005,Airway Simulator Detector Slot 0005
pmsr:/INS1739819782231595/CTS/0003,vstoi:SlotElement,pmsr:/INS1739819782231595,pmsr:/COM9b96fa46ed907be02,,pmsr:/INS1739819782231595/CTS/0002,,0003,Anatomage Clinical Table Detector Slot 0003
pmsr:/INS1739819116467195/CTS/0003,vstoi:SlotElement,pmsr:/INS1739819116467195,pmsr:/COM987ce09a3861ae599,,pmsr:/INS1739819116467195/CTS/0002,,0003,Anatomage Large Table Detector Slot 0003
pmsr:/INS1739819955334025/CTS/0003,vstoi:SlotElement,pmsr:/INS1739819955334025,pmsr:/COM93b460eb853377780,,pmsr:/INS1739819955334025/CTS/0002,,0003,Anatomage Science Table Detector Slot 0003
pmsr:/INS1739819599670195/CTS/0003,vstoi:SlotElement,pmsr:/INS1739819599670195,pmsr:/COM98361c610186e70fe,,pmsr:/INS1739819599670195/CTS/0002,,0003,Anatomage Small Tablet Detector Slot 0003
pmsr:/INS1739452063713965/CTS/0003,vstoi:SlotElement,pmsr:/INS1739452063713965,pmsr:/COM9b2164f02cfa26970,,pmsr:/INS1739452063713965/CTS/0002,,0003,Anatomage Table Simulator Detector Slot 0003
pmsr:/INS1739819868350395/CTS/0003,vstoi:SlotElement,pmsr:/INS1739819868350395,pmsr:/COM9ef54393e0e02c625,,pmsr:/INS1739819868350395/CTS/0002,,0003,Anatomage Vet Table Detector Slot 0003
pmsr:/INS1739301009974715/CTS/0003,vstoi:SlotElement,pmsr:/INS1739301009974715,pmsr:/COM9f61abd8c7ab5a3f6,,pmsr:/INS1739301009974715/CTS/0002,,0003,ARTEC LEO Scanner Detector Slot 0003
pmsr:/INS1739301317613705/CTS/0003,vstoi:SlotElement,pmsr:/INS1739301317613705,pmsr:/COM9fec4dacf65a9e965,pmsr:/INS1739301317613705/CTS/0004,pmsr:/INS1739301317613705/CTS/0002,,0003,Automated External Defibrilator Detector Slot 0003
pmsr:/INS1739301317613705/CTS/0004,vstoi:SlotElement,pmsr:/INS1739301317613705,pmsr:/COM965a74fbb908db6bf,pmsr:/INS1739301317613705/CTS/0005,pmsr:/INS1739301317613705/CTS/0003,,0004,Automated External Defibrilator Detector Slot 0004
pmsr:/INS1739301317613705/CTS/0005,vstoi:SlotElement,pmsr:/INS1739301317613705,pmsr:/COM9beda1497dabc50eb,,pmsr:/INS1739301317613705/CTS/0004,,0005,Automated External Defibrilator Detector Slot 0005
pmsr:/INS1739402230863265/CTS/0003,vstoi:SlotElement,pmsr:/INS1739402230863265,pmsr:/COM94ecc82cd49e57b32,pmsr:/INS1739402230863265/CTS/0004,pmsr:/INS1739402230863265/CTS/0002,,0003,Blood Pressure Measurement Simulator Detector Slot 0003
pmsr:/INS1739402230863265/CTS/0004,vstoi:SlotElement,pmsr:/INS1739402230863265,pmsr:/COM9987750264b800ee8,pmsr:/INS1739402230863265/CTS/0005,pmsr:/INS1739402230863265/CTS/0003,,0004,Blood Pressure Measurement Simulator Detector Slot 0004
