instrument_uri,instrument_label,component_uri,component_label,component_kind,quality_grade,primary_domain,secondary_domain,doc_family,primary_doc_url,secondary_doc_url,remediation_priority,recommendation
ncit:C16830,Medical Device,pmsr:/COM1786054978466790000,Medical Device Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,fda.gov,iso.org,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,P1_HIGH,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
ncit:C16830,Medical Device,pmsr:/COM1786054978466794000,Medical Device Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,fda.gov,iso.org,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,P1_HIGH,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
pmsr:/INS1739287021517805,Diagnostic Simulators,pmsr:/COM1786054978466375000,Diagnostic Simulators Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,fda.gov,iso.org,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,P1_HIGH,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
pmsr:/INS1739287021517805,Diagnostic Simulators,pmsr:/COM1786054978466380000,Diagnostic Simulators Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,fda.gov,iso.org,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,P1_HIGH,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
pmsr:/INS1739287092102085,Medical Examination Simulators,pmsr:/COM1786054978466811000,Medical Examination Simulators Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,fda.gov,iso.org,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,P1_HIGH,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
pmsr:/INS1739287092102085,Medical Examination Simulators,pmsr:/COM1786054978466817000,Medical Examination Simulators Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,fda.gov,iso.org,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,P1_HIGH,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
pmsr:/INS1739287159797795,High-Fidelity Mannequin,pmsr:/COM1786054978466495000,High-Fidelity Mannequin Detector,detector,Q2_VENDOR_FAMILY_SPECIFIC,laerdal.force.com,cpr.heart.org,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739287159797795,High-Fidelity Mannequin,pmsr:/COM1786054978466499000,High-Fidelity Mannequin Actuator,actuator,Q2_VENDOR_FAMILY_SPECIFIC,laerdal.force.com,cpr.heart.org,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,P3_NONE,No immediate action required; optionally add direct model manual PDF.
pmsr:/INS1739287212610855,Dani Model,pmsr:/COM1786054978466344000,Dani Model Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,fda.gov,iso.org,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,P1_HIGH,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
pmsr:/INS1739287212610855,Dani Model,pmsr:/COM1786054978466348000,Dani Model Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,fda.gov,iso.org,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,P1_HIGH,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
