instrument_uri,instrument_label,component_uri,component_label,component_kind,quality_grade,remediation_priority,recommended_action,current_primary_doc_url,current_secondary_doc_url,doc_family
pmsr:/INS1739402230863265,Blood Pressure Measurement Simulator,pmsr:/COM1786054978466198000,Blood Pressure Measurement Simulator Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,"Replace or complement with vendor/model-specific manual, IFU, or datasheet.",https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,General Medical Device Governance
pmsr:/INS1739402230863265,Blood Pressure Measurement Simulator,pmsr:/COM1786054978466194000,Blood Pressure Measurement Simulator Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,"Replace or complement with vendor/model-specific manual, IFU, or datasheet.",https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,General Medical Device Governance
pmsr:/INS1739820624939265,Cancer Patient Simulator,pmsr:/COM1786054978466270000,Cancer Patient Simulator Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,"Replace or complement with vendor/model-specific manual, IFU, or datasheet.",https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,General Medical Device Governance
pmsr:/INS1739879206550705,Cancer Patient Simulator,pmsr:/COM1786054978466286000,Cancer Patient Simulator Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,"Replace or complement with vendor/model-specific manual, IFU, or datasheet.",https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,General Medical Device Governance
pmsr:/INS1739820624939265,Cancer Patient Simulator,pmsr:/COM1786054978466266000,Cancer Patient Simulator Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,"Replace or complement with vendor/model-specific manual, IFU, or datasheet.",https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,General Medical Device Governance
pmsr:/INS1739879206550705,Cancer Patient Simulator,pmsr:/COM1786054978466282000,Cancer Patient Simulator Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,"Replace or complement with vendor/model-specific manual, IFU, or datasheet.",https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,General Medical Device Governance
pmsr:/INS1739392182337835,Cardiac Procedure Simulator,pmsr:/COM1786054978466301000,Cardiac Procedure Simulator Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,"Replace or complement with vendor/model-specific manual, IFU, or datasheet.",https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,General Medical Device Governance
pmsr:/INS1739392182337835,Cardiac Procedure Simulator,pmsr:/COM1786054978466297000,Cardiac Procedure Simulator Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,"Replace or complement with vendor/model-specific manual, IFU, or datasheet.",https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,General Medical Device Governance
pmsr:/INS1739301711235865,Care Simulators,pmsr:/COM1786054978466316000,Care Simulators Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,"Replace or complement with vendor/model-specific manual, IFU, or datasheet.",https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,General Medical Device Governance
pmsr:/INS1739301711235865,Care Simulators,pmsr:/COM1786054978466312000,Care Simulators Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,"Replace or complement with vendor/model-specific manual, IFU, or datasheet.",https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,General Medical Device Governance
