rank,priority_band,priority_rationale,instrument_uri,instrument_label,component_uri,component_label,component_kind,quality_grade,remediation_priority,doc_family,current_primary_doc_url,current_secondary_doc_url,suggested_source_target,recommended_action
1,A,Complex instrument profile with multiple unresolved component evidences.,pmsr:/INS1739452868256965,SimSleeves Lymphedema Simulator,pmsr:/COM1786054978467222000,SimSleeves Lymphedema Simulator Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
2,A,Complex instrument profile with multiple unresolved component evidences.,pmsr:/INS1739452868256965,SimSleeves Lymphedema Simulator,pmsr:/COM1786054978467227000,SimSleeves Lymphedema Simulator Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
3,A,Complex instrument profile with multiple unresolved component evidences.,pmsr:/INS1739452868256965,SimSleeves Lymphedema Simulator,pmsr:/COM1740497043510835,Lymphedema Condition Component Stem  -- CB:EMPTY,other,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
4,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739402230863265,Blood Pressure Measurement Simulator,pmsr:/COM1786054978466194000,Blood Pressure Measurement Simulator Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
5,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739402230863265,Blood Pressure Measurement Simulator,pmsr:/COM1786054978466198000,Blood Pressure Measurement Simulator Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
6,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739820624939265,Cancer Patient Simulator,pmsr:/COM1786054978466266000,Cancer Patient Simulator Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
7,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739879206550705,Cancer Patient Simulator,pmsr:/COM1786054978466282000,Cancer Patient Simulator Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
8,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739820624939265,Cancer Patient Simulator,pmsr:/COM1786054978466270000,Cancer Patient Simulator Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
9,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739879206550705,Cancer Patient Simulator,pmsr:/COM1786054978466286000,Cancer Patient Simulator Actuator,actuator,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
10,C,Standard remediation item: generic evidence should be replaced by vendor/model evidence.,pmsr:/INS1739392182337835,Cardiac Procedure Simulator,pmsr:/COM1786054978466297000,Cardiac Procedure Simulator Detector,detector,Q1_GENERIC_GOVERNANCE_ONLY,P1_HIGH,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,Replace generic governance with instrument/vendor model documentation,"Replace or complement with vendor/model-specific manual, IFU, or datasheet."
