instrument_uri,instrument_label,mode_hasco_type,component_uri,component_label,component_kind,has_doc_evidence,doc_family,primary_doc_url,secondary_doc_url,status
ncit:C16830,Medical Device,vstoi:Instrument,pmsr:/COM1786054978466790000,Medical Device Detector,detector,yes,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
ncit:C16830,Medical Device,vstoi:Instrument,pmsr:/COM1786054978466794000,Medical Device Actuator,actuator,yes,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/INS1739287021517805,Diagnostic Simulators,vstoi:Instrument,pmsr:/COM1786054978466375000,Diagnostic Simulators Detector,detector,yes,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/INS1739287021517805,Diagnostic Simulators,vstoi:Instrument,pmsr:/COM1786054978466380000,Diagnostic Simulators Actuator,actuator,yes,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/INS1739287092102085,Medical Examination Simulators,vstoi:Instrument,pmsr:/COM1786054978466811000,Medical Examination Simulators Detector,detector,yes,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/INS1739287092102085,Medical Examination Simulators,vstoi:Instrument,pmsr:/COM1786054978466817000,Medical Examination Simulators Actuator,actuator,yes,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/INS1739287159797795,High-Fidelity Mannequin,vstoi:Instrument,pmsr:/COM1786054978466495000,High-Fidelity Mannequin Detector,detector,yes,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,ok
pmsr:/INS1739287159797795,High-Fidelity Mannequin,vstoi:Instrument,pmsr:/COM1786054978466499000,High-Fidelity Mannequin Actuator,actuator,yes,Resuscitation and Mannequin Platforms,https://laerdal.force.com/HelpCenter/s/,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,ok
pmsr:/INS1739287212610855,Dani Model,vstoi:Instrument,pmsr:/COM1786054978466344000,Dani Model Detector,detector,yes,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
pmsr:/INS1739287212610855,Dani Model,vstoi:Instrument,pmsr:/COM1786054978466348000,Dani Model Actuator,actuator,yes,General Medical Device Governance,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/medical-device-databases,https://www.iso.org/standard/72704.html,ok
