instrument_uri,instrument_label,mode_hasco_type,total_components,detectors,actuators,other,components_with_doc_evidence,components_without_doc_evidence
ncit:C16830,Medical Device,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739287021517805,Diagnostic Simulators,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739287092102085,Medical Examination Simulators,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739287159797795,High-Fidelity Mannequin,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739287212610855,Dani Model,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739287640585765,Rectal Examination Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739288006994165,Diagnostic Imaging Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739288153666735,Diagnostic Ultrasound,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739288297796655,Vascular Access Ultrasound Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739288428472235,Ultrasound,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739288499528465,Chison Cbit-9 Stationary Ultrasound,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739288566447555,Portable Ultrasound,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739288625580975,Butterfly IQ+,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739288691415495,Butterfly Ultrasound Probes,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739300958884615,Imaging,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739301009974715,ARTEC LEO Scanner,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739301081410085,Intraoral Scanner,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739301133578555,Extraoral Scanner,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739301189412025,CAD-CAM System,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739301317613705,Automated External Defibrilator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739301711235865,Care Simulators,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739301814401805,Medical Procedure Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739301891301765,Suture Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739302175458785,Vascular Access Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739303008518495,Ventilator Care Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739303195193785,Geriatic Care Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739303333850795,Oncology Care Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739392122823235,Procedure Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739392182337835,Cardiac Procedure Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739392275798255,ResusciAnne DAE Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739392367425715,Laerdal DAE Simulator,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739397137461495,Low-Fidelity Mannequin,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739397556188145,Gynaecological Examination Mannequin,vstoi:Instrument,2,1,1,0,2,0
pmsr:/INS1739398437257165,Airway Simulator,vstoi:Instrument,2,1,1,0,2,0
