instrument_uri,instrument_label,fidelity,doc_family,threshold_category,threshold_detector_min,threshold_detector_max,detectors_modeled,actuators_modeled,other_components_modeled,total_components_modeled,threshold_status,detector_gap_to_min,current_detector_domains,all_component_domains,proposed_domains_of_concern,components_by_domain
pmsr:/INS1739398437257165,Airway Simulator,(blank),Procedure Trainers and Skills Simulators,MEDIUM_MANNEQUIN_PROCEDURE,4,8,1,1,0,2,BELOW_MIN,3,AIRWAY_RESPIRATORY,AIRWAY_RESPIRATORY,AIRWAY_RESPIRATORY | CARDIOVASCULAR_HEMODYNAMIC | PROCEDURAL_FORCE_PRESSURE | IV_VASCULAR_ACCESS,"AIRWAY_RESPIRATORY:Airway Simulator Actuator,Airway Simulator Detector"
pmsr:/INS1739819782231595,Anatomage Clinical Table,high,Anatomy Table and 3D Simulation,IMAGING_TABLE,2,6,1,1,0,2,BELOW_MIN,1,IMAGING_ANATOMY_SPATIAL,IMAGING_ANATOMY_SPATIAL,IMAGING_ANATOMY_SPATIAL | PROCEDURAL_FORCE_PRESSURE,"IMAGING_ANATOMY_SPATIAL:Anatomage Clinical Table Actuator,Anatomage Clinical Table Detector"
pmsr:/INS1739819116467195,Anatomage Large Table,high,Anatomy Table and 3D Simulation,IMAGING_TABLE,2,6,1,1,0,2,BELOW_MIN,1,IMAGING_ANATOMY_SPATIAL,IMAGING_ANATOMY_SPATIAL,IMAGING_ANATOMY_SPATIAL | PROCEDURAL_FORCE_PRESSURE,"IMAGING_ANATOMY_SPATIAL:Anatomage Large Table Actuator,Anatomage Large Table Detector"
pmsr:/INS1739819955334025,Anatomage Science Table,medium,Anatomy Table and 3D Simulation,IMAGING_TABLE,2,6,1,1,0,2,BELOW_MIN,1,IMAGING_ANATOMY_SPATIAL,IMAGING_ANATOMY_SPATIAL,IMAGING_ANATOMY_SPATIAL | PROCEDURAL_FORCE_PRESSURE,"IMAGING_ANATOMY_SPATIAL:Anatomage Science Table Actuator,Anatomage Science Table Detector"
pmsr:/INS1739819599670195,Anatomage Small Tablet,high,Anatomy Table and 3D Simulation,IMAGING_TABLE,2,6,1,1,0,2,BELOW_MIN,1,IMAGING_ANATOMY_SPATIAL,IMAGING_ANATOMY_SPATIAL,IMAGING_ANATOMY_SPATIAL | PROCEDURAL_FORCE_PRESSURE,"IMAGING_ANATOMY_SPATIAL:Anatomage Small Tablet Actuator,Anatomage Small Tablet Detector"
pmsr:/INS1739452063713965,Anatomage Table Simulator,medium,Anatomy Table and 3D Simulation,IMAGING_TABLE,2,6,1,1,0,2,BELOW_MIN,1,IMAGING_ANATOMY_SPATIAL,IMAGING_ANATOMY_SPATIAL,IMAGING_ANATOMY_SPATIAL | PROCEDURAL_FORCE_PRESSURE,"IMAGING_ANATOMY_SPATIAL:Anatomage Table Simulator Actuator,Anatomage Table Simulator Detector"
pmsr:/INS1739819868350395,Anatomage Vet Table,medium,Anatomy Table and 3D Simulation,IMAGING_TABLE,2,6,1,1,0,2,BELOW_MIN,1,IMAGING_ANATOMY_SPATIAL,IMAGING_ANATOMY_SPATIAL,IMAGING_ANATOMY_SPATIAL | PROCEDURAL_FORCE_PRESSURE,"IMAGING_ANATOMY_SPATIAL:Anatomage Vet Table Actuator,Anatomage Vet Table Detector"
pmsr:/INS1739301009974715,ARTEC LEO Scanner,medium,Dental and Oral Scanning Systems,IMAGING_TABLE,2,6,1,1,0,2,BELOW_MIN,1,IMAGING_ANATOMY_SPATIAL,IMAGING_ANATOMY_SPATIAL,IMAGING_ANATOMY_SPATIAL | PROCEDURAL_FORCE_PRESSURE,"IMAGING_ANATOMY_SPATIAL:ARTEC LEO Scanner Actuator,ARTEC LEO Scanner Detector"
pmsr:/INS1739301317613705,Automated External Defibrilator,medium,Resuscitation and Mannequin Platforms,MEDIUM_MANNEQUIN_PROCEDURE,4,8,1,1,0,2,BELOW_MIN,3,CARDIOVASCULAR_HEMODYNAMIC,CARDIOVASCULAR_HEMODYNAMIC,CARDIOVASCULAR_HEMODYNAMIC | AIRWAY_RESPIRATORY | PROCEDURAL_FORCE_PRESSURE | IV_VASCULAR_ACCESS,"CARDIOVASCULAR_HEMODYNAMIC:Automated External Defibrilator Actuator,Automated External Defibrilator Detector"
pmsr:/INS1739402230863265,Blood Pressure Measurement Simulator,medium,General Medical Device Governance,MEDIUM_MANNEQUIN_PROCEDURE,4,8,1,1,0,2,BELOW_MIN,3,PROCEDURAL_FORCE_PRESSURE,PROCEDURAL_FORCE_PRESSURE,PROCEDURAL_FORCE_PRESSURE | AIRWAY_RESPIRATORY | CARDIOVASCULAR_HEMODYNAMIC | IV_VASCULAR_ACCESS,"PROCEDURAL_FORCE_PRESSURE:Blood Pressure Measurement Simulator Actuator,Blood Pressure Measurement Simulator Detector"
pmsr:/INS1739878730369725,Body Interact Simulator,high,Virtual Patient and Digital Simulation,VIRTUAL_PATIENT_SOFTWARE,1,3,1,1,0,2,WITHIN_RANGE,0,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER | SOFTWARE_WORKFLOW_STATE | CARDIOVASCULAR_HEMODYNAMIC,"GENERAL_SIMULATION_OTHER:Body Interact Simulator Actuator,Body Interact Simulator Detector"
pmsr:/INS1739288625580975,Butterfly IQ+,high,Point-of-Care Ultrasound and Imaging,IMAGING_TABLE,2,6,1,1,0,2,BELOW_MIN,1,GENERAL_SIMULATION_OTHER,GENERAL_SIMULATION_OTHER,IMAGING_ANATOMY_SPATIAL | PROCEDURAL_FORCE_PRESSURE,"GENERAL_SIMULATION_OTHER:Butterfly IQ+ Actuator,Butterfly IQ+ Detector"
