priority_band,priority_score,codebook_uri,codebook_label,response_uri,response_label,semantic_domain,proposed_map_type,current_status,required_action,release_target
P1,7,pmsr:/CBK1738087261869295,Airway Medical Device Responses,pmsr:/ROP1786056052971690000,High,clinical-observation,EXACT_CANDIDATE,needs_terminology_review,Assign SNOMED concept ID and approve mapping,v0.2-curated
P1,7,pmsr:/CBK1738087261869295,Airway Medical Device Responses,pmsr:/ROP1786056052971679000,Low,clinical-observation,EXACT_CANDIDATE,needs_terminology_review,Assign SNOMED concept ID and approve mapping,v0.2-curated
P1,7,pmsr:/CBK1738087261869295,Airway Medical Device Responses,pmsr:/ROP1786056052971686000,Medium,clinical-observation,EXACT_CANDIDATE,needs_terminology_review,Assign SNOMED concept ID and approve mapping,v0.2-curated
P1,7,pmsr:/CBK1786055194373684000,Anal Canal Condition Codebook,pmsr:/ROP1786055194373693000,Bleeding,clinical-observation,EXACT_CANDIDATE,needs_terminology_review,Assign SNOMED concept ID and approve mapping,v0.2-curated
P1,7,pmsr:/CBK1786055194373684000,Anal Canal Condition Codebook,pmsr:/ROP1786055194373686000,Normal,clinical-observation,EXACT_CANDIDATE,needs_terminology_review,Assign SNOMED concept ID and approve mapping,v0.2-curated
P1,7,pmsr:/CBK1786055194373684000,Anal Canal Condition Codebook,pmsr:/ROP1786055194373689000,Tender,clinical-observation,EXACT_CANDIDATE,needs_terminology_review,Assign SNOMED concept ID and approve mapping,v0.2-curated
P1,7,pmsr:/CBK1738088009248155,Intubation Results,pmsr:/ROP1786056052971716000,Active,clinical-observation,EXACT_CANDIDATE,needs_terminology_review,Assign SNOMED concept ID and approve mapping,v0.2-curated
P1,7,pmsr:/CBK1738088009248155,Intubation Results,pmsr:/ROP1786055194373625000,Inactive,clinical-observation,EXACT_CANDIDATE,needs_terminology_review,Assign SNOMED concept ID and approve mapping,v0.2-curated
P1,7,pmsr:/CBK1786055194373708000,Lymphedema Severity Codebook,pmsr:/ROP1786055194373710000,Mild,clinical-observation,EXACT_CANDIDATE,needs_terminology_review,Assign SNOMED concept ID and approve mapping,v0.2-curated
P1,7,pmsr:/CBK1786055194373708000,Lymphedema Severity Codebook,pmsr:/ROP1786055194373701000,Moderate,clinical-observation,EXACT_CANDIDATE,needs_terminology_review,Assign SNOMED concept ID and approve mapping,v0.2-curated
P1,7,pmsr:/CBK1786055194373708000,Lymphedema Severity Codebook,pmsr:/ROP1786055194373715000,Severe,clinical-observation,EXACT_CANDIDATE,needs_terminology_review,Assign SNOMED concept ID and approve mapping,v0.2-curated
