codebook_uri,codebook_label,response_uri,response_label,slot_priority,semantic_domain,snomed_concept_id,snomed_fsn,snomed_preferred_term,map_type,map_scope,map_confidence,map_source,map_version,map_review_status,notes
pmsr:/CBK1786054978465927000,Actuator State Codebook,pmsr:/ROP1786054978465918000,Off,1,device-operational,,,Off,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,Autogenerated shared response option: off
pmsr:/CBK1786054978465927000,Actuator State Codebook,pmsr:/ROP1786054978465920000,On,2,device-operational,,,On,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,Autogenerated shared response option: on
pmsr:/CBK1786054978465927000,Actuator State Codebook,pmsr:/ROP1786054978465922000,Standby,3,device-operational,,,Standby,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,Autogenerated shared response option: standby
pmsr:/CBK1738087261869295,Airway Medical Device Responses,pmsr:/ROP1786056052971679000,Low,1,clinical-observation,,,Low,EXACT_CANDIDATE,SNOMED_CT,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_terminology_review,Auto-created from documentation corpus remediation pass.
pmsr:/CBK1738087261869295,Airway Medical Device Responses,pmsr:/ROP1786056052971686000,Medium,2,clinical-observation,,,Medium,EXACT_CANDIDATE,SNOMED_CT,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_terminology_review,Auto-created from documentation corpus remediation pass.
pmsr:/CBK1738087261869295,Airway Medical Device Responses,pmsr:/ROP1786056052971690000,High,3,clinical-observation,,,High,EXACT_CANDIDATE,SNOMED_CT,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_terminology_review,Auto-created from documentation corpus remediation pass.
pmsr:/CBK1786055194373684000,Anal Canal Condition Codebook,pmsr:/ROP1786055194373686000,Normal,1,clinical-observation,,,Normal,EXACT_CANDIDATE,SNOMED_CT,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_terminology_review,Autogenerated specific option for legacy CB:EMPTY enrichment
pmsr:/CBK1786055194373684000,Anal Canal Condition Codebook,pmsr:/ROP1786055194373689000,Tender,2,clinical-observation,,,Tender,EXACT_CANDIDATE,SNOMED_CT,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_terminology_review,Autogenerated specific option for legacy CB:EMPTY enrichment
pmsr:/CBK1786055194373684000,Anal Canal Condition Codebook,pmsr:/ROP1786055194373693000,Bleeding,3,clinical-observation,,,Bleeding,EXACT_CANDIDATE,SNOMED_CT,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_terminology_review,Autogenerated specific option for legacy CB:EMPTY enrichment
pmsr:/CBK1738190767525383,CB,pmsr:/ROP1786056052971696000,State 1,1,mixed-or-unknown,,,State 1,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,Auto-created from documentation corpus remediation pass.
pmsr:/CBK1738190767525383,CB,pmsr:/ROP1786056052971699000,State 2,2,mixed-or-unknown,,,State 2,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,Auto-created from documentation corpus remediation pass.
pmsr:/CBK1738190767525383,CB,pmsr:/ROP1786056052971701000,State 3,3,mixed-or-unknown,,,State 3,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,Auto-created from documentation corpus remediation pass.
pmsr:/CBK1738190767525383,CB,pmsr:/ROP1786056052971703000,State 4,4,mixed-or-unknown,,,State 4,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,Auto-created from documentation corpus remediation pass.
pmsr:/CBK1738096258564815,Chest Inflator Responses,pmsr:/ROP1738095646552695,Chest Deflated,1,mixed-or-unknown,,,Chest Deflated,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,"The portion representing the Chest, in the mannequin, appears to be deflated."
pmsr:/CBK1738096258564815,Chest Inflator Responses,pmsr:/ROP1738095538691005,Chest Inflated,2,mixed-or-unknown,,,Chest Inflated,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,The chest portion of the mannequin appears to be inflated
pmsr:/CBK1786055194373647000,DAE Trainer Prompt Codebook,pmsr:/ROP1786055194373649000,No Prompt,1,mixed-or-unknown,,,No Prompt,EXACT_CANDIDATE,SNOMED_CT,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_terminology_review,Autogenerated specific option for legacy CB:EMPTY enrichment
pmsr:/CBK1786055194373647000,DAE Trainer Prompt Codebook,pmsr:/ROP1786055194373652000,Prepare Shock,2,mixed-or-unknown,,,Prepare Shock,EXACT_CANDIDATE,SNOMED_CT,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_terminology_review,Autogenerated specific option for legacy CB:EMPTY enrichment
pmsr:/CBK1786055194373647000,DAE Trainer Prompt Codebook,pmsr:/ROP1786055194373656000,Shock Delivered,3,mixed-or-unknown,,,Shock Delivered,EXACT_CANDIDATE,SNOMED_CT,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_terminology_review,Autogenerated specific option for legacy CB:EMPTY enrichment
pmsr:/CBK1786054978465925000,Detector State Codebook,pmsr:/ROP1786054978465904000,Detected,1,device-operational,,,Detected,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,Autogenerated shared response option: detected
pmsr:/CBK1786054978465925000,Detector State Codebook,pmsr:/ROP1786054978465911000,Not Detected,2,device-operational,,,Not Detected,LOCAL_OPERATIONAL,OPTIONAL_SNOMED_OR_LOCAL,medium,INS-PMSR-V2 phase2 seed,v0.1-seed,needs_data_governance_review,Autogenerated shared response option: not detected
