instrument_uri,old_owner,new_owner
pmsr:INI1784603367311,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502817893
pmsr:INI1784603367312,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502817893
pmsr:INI1784603367314,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502817893
pmsr:INI1784603367315,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502817893
pmsr:INI1784603367316,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502817893
pmsr:INI1784603367318,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502817893
pmsr:INI1784603367319,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502817893
pmsr:INI1784603367320,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502817893
pmsr:INI1784603367322,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502817893
pmsr:INI1784603367323,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502817893
pmsr:INI1784603367324,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502817893
pmsr:INI1784603367325,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502817893
pmsr:INI1784603367327,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502817893
pmsr:INI1784603367328,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502817893
pmsr:INI1784603367329,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502817893
pmsr:INI1784603367331,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502817893
pmsr:INI1784603367332,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502817893
pmsr:INI1784603367333,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502817893
pmsr:INI1784603367335,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502817893
pmsr:INI1784603367336,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502817893
pmsr:INI1784603367337,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502817893
pmsr:INI1784603367339,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502817893
pmsr:INI1784603367340,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502817893
pmsr:INI1784603367341,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502817893
pmsr:INI1784603367343,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502817893
pmsr:INI1784603367344,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502817893
pmsr:INI1784603367345,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502817893
pmsr:INI1784603367346,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502817893
pmsr:INI1784603367348,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502817893
pmsr:INI1784603367349,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502817893
pmsr:INI1784603367350,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502817893
pmsr:INI1784603367352,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367353,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367354,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367356,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367357,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367358,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367360,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367361,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367362,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367363,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367365,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367366,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367367,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367369,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367370,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367371,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367373,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367374,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367375,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367377,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367378,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367379,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367381,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367382,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367383,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367384,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367386,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367387,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367388,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367390,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367391,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367392,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367394,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367395,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367396,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367398,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367399,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367400,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367402,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502849898
pmsr:INI1784603367403,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502882527
pmsr:INI1784603367404,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502882527
pmsr:INI1784603367406,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502882527
pmsr:INI1784603367407,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502882527
pmsr:INI1784603367408,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502882527
pmsr:INI1784603367410,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502882527
pmsr:INI1784603367411,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502882527
pmsr:INI1784603367412,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502882527
pmsr:INI1784603367413,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502882527
pmsr:INI1784603367415,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502882527
pmsr:INI1784603367416,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502882527
pmsr:INI1784603367417,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502882527
pmsr:INI1784603367419,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502882527
pmsr:INI1784603367420,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502882527
pmsr:INI1784603367421,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502882527
pmsr:INI1784603367423,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502882527
pmsr:INI1784603367424,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502882527
pmsr:INI1784603367425,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502882527
pmsr:INI1784603367427,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502882527
pmsr:INI1784603367428,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502882527
pmsr:INI1784603367429,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502882527
pmsr:INI1784603367431,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502882527
pmsr:INI1784603367432,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502882527
pmsr:INI1784603367433,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502882527
pmsr:INI1784603367434,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502882527
pmsr:INI1784603367436,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502882527
pmsr:INI1784603367437,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502882527
pmsr:INI1784603367438,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502882527
pmsr:INI1784603367440,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547867570660682
pmsr:INI1784603367441,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547867570660682
pmsr:INI1784603367442,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547867570660682
pmsr:INI1784603367444,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547867570660682
pmsr:INI1784603367445,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547867570660682
pmsr:INI1784603367446,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547867570660682
pmsr:INI1784603367448,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547867570660682
pmsr:INI1784603367449,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547867570660682
pmsr:INI1784603367450,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502816317
pmsr:INI1784603367452,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502816317
pmsr:INI1784603367453,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502816317
pmsr:INI1784603367454,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502816317
pmsr:INI1784603367456,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502816317
pmsr:INI1784603367457,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502816317
pmsr:INI1784603367458,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502816317
pmsr:INI1784603367459,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367461,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
