componentInstanceURI,componentStemURI,instrumentSlotURI,slotNumber,instrumentInstanceURI,instrumentLabel,componentEvidenceName,inferenceSource,oldLabel,newLabel
pmsr:CPI2755796733471,ncit:C25218,,,,linked simulator,,bootstrap-default,Simulation support component for linked simulator,General simulator support component instance
pmsr:CPI5459487778512,pmsr:/COM1786054978466312000,pmsr:/INS1739301711235865/CTS/0001,0001,pmsr:INI1784603367297,ALS Baby Trainer 200 SN:010001,Care Simulators Detector,component-evidence-name,Simulation state detection sensor for ALS Baby Trainer 200 SN:010001,State detector for monitoring simulator condition changes for ALS Baby Trainer 200 SN:010001
pmsr:CPI3408860877303,pmsr:/COM1786054978466316000,pmsr:/INS1739301711235865/CTS/0002,0002,pmsr:INI1784603367297,ALS Baby Trainer 200 SN:010001,Care Simulators Actuator,component-evidence-name,Simulation response actuator for ALS Baby Trainer 200 SN:010001,Response actuator for driving simulator state changes for ALS Baby Trainer 200 SN:010001
pmsr:CPI6680210442030,pmsr:/COM9c9998b0d6c57586e,pmsr:/INS1739301711235865/CTS/0003,0003,pmsr:INI1784603367297,ALS Baby Trainer 200 SN:010001,Care Simulators Interaction Event Detector,component-evidence-name,Interaction event tracking sensor for ALS Baby Trainer 200 SN:010001,Interaction event detector for tracking learner actions for ALS Baby Trainer 200 SN:010001
pmsr:CPI2159070299335,pmsr:/COM9c44ff66ece930aee,pmsr:/INS1739301711235865/CTS/0004,0004,pmsr:INI1784603367297,ALS Baby Trainer 200 SN:010001,Care Simulators Airway Pressure Detector,component-evidence-name,Airway pressure monitoring sensor for ALS Baby Trainer 200 SN:010001,Airway pressure detector for monitoring ventilation pressure for ALS Baby Trainer 200 SN:010001
pmsr:CPI1895327710078,pmsr:/COM9edd3c7ab12ea1a73,pmsr:/INS1739301711235865/CTS/0005,0005,pmsr:INI1784603367297,ALS Baby Trainer 200 SN:010001,Care Simulators Pulse Rate Detector,component-evidence-name,Pulse rate monitoring sensor for ALS Baby Trainer 200 SN:010001,Pulse rate detector for monitoring cardiovascular response for ALS Baby Trainer 200 SN:010001
pmsr:CPI4788168019930,pmsr:/COM1786054978466312000,pmsr:/INS1739301711235865/CTS/0001,0001,pmsr:INI1784603367298,ASL 5000TM Lung Solution SN:010002,Care Simulators Detector,component-evidence-name,Simulation state detection sensor for ASL 5000TM Lung Solution SN:010002,State detector for monitoring simulator condition changes for ASL 5000TM Lung Solution SN:010002
pmsr:CPI7755638765583,pmsr:/COM1786054978466316000,pmsr:/INS1739301711235865/CTS/0002,0002,pmsr:INI1784603367298,ASL 5000TM Lung Solution SN:010002,Care Simulators Actuator,component-evidence-name,Simulation response actuator for ASL 5000TM Lung Solution SN:010002,Response actuator for driving simulator state changes for ASL 5000TM Lung Solution SN:010002
pmsr:CPI8038191371959,pmsr:/COM9c9998b0d6c57586e,pmsr:/INS1739301711235865/CTS/0003,0003,pmsr:INI1784603367298,ASL 5000TM Lung Solution SN:010002,Care Simulators Interaction Event Detector,component-evidence-name,Interaction event tracking sensor for ASL 5000TM Lung Solution SN:010002,Interaction event detector for tracking learner actions for ASL 5000TM Lung Solution SN:010002
pmsr:CPI2629320598417,pmsr:/COM9c44ff66ece930aee,pmsr:/INS1739301711235865/CTS/0004,0004,pmsr:INI1784603367298,ASL 5000TM Lung Solution SN:010002,Care Simulators Airway Pressure Detector,component-evidence-name,Airway pressure monitoring sensor for ASL 5000TM Lung Solution SN:010002,Airway pressure detector for monitoring ventilation pressure for ASL 5000TM Lung Solution SN:010002
pmsr:CPI1358154181310,pmsr:/COM9edd3c7ab12ea1a73,pmsr:/INS1739301711235865/CTS/0005,0005,pmsr:INI1784603367298,ASL 5000TM Lung Solution SN:010002,Care Simulators Pulse Rate Detector,component-evidence-name,Pulse rate monitoring sensor for ASL 5000TM Lung Solution SN:010002,Pulse rate detector for monitoring cardiovascular response for ASL 5000TM Lung Solution SN:010002
pmsr:CPI3724562469277,pmsr:/COM17860549784669200,pmsr:/INS1739303333850795/CTS/0001,0001,pmsr:INI1784603367299,EMS-MAN (Emergency Medical Skills)–Adult Male-Simbodies SN:010003,,final-curated-fallback-function-only,State detector for monitoring simulator condition changes for EMS-MAN (Emergency Medical Skills)–Adult Male-Simbodies SN:010003,Primary state detector for simulator condition monitoring
pmsr:CPI1634886262589,pmsr:/COM17860549784669250,pmsr:/INS1739303333850795/CTS/0002,0002,pmsr:INI1784603367299,EMS-MAN (Emergency Medical Skills)–Adult Male-Simbodies SN:010003,,final-curated-fallback-function-only,Response actuator for driving simulator state changes for EMS-MAN (Emergency Medical Skills)–Adult Male-Simbodies SN:010003,Primary response actuator for simulator state control
pmsr:CPI0870319301923,pmsr:/COM90e709ed6a7da646e,pmsr:/INS1739303333850795/CTS/0003,0003,pmsr:INI1784603367299,EMS-MAN (Emergency Medical Skills)–Adult Male-Simbodies SN:010003,Oncology Care Simulator Interaction Event Detector,component-evidence-name,Simulation support component for EMS-MAN (Emergency Medical Skills)–Adult Male-Simbodies SN:010003,Interaction event detector for tracking learner actions for EMS-MAN (Emergency Medical Skills)–Adult Male-Simbodies SN:010003
pmsr:CPI5107726029856,pmsr:/COM93b9e9e42e8ce92e6,pmsr:/INS1739303333850795/CTS/0004,0004,pmsr:INI1784603367299,EMS-MAN (Emergency Medical Skills)–Adult Male-Simbodies SN:010003,Oncology Care Simulator Airway Pressure Detector,component-evidence-name,Simulation support component for EMS-MAN (Emergency Medical Skills)–Adult Male-Simbodies SN:010003,Airway pressure detector for monitoring ventilation pressure for EMS-MAN (Emergency Medical Skills)–Adult Male-Simbodies SN:010003
